Simulacion,Paso,Influencia,PH,Exp_Investigacion,Exp_Combate,Exp_Fabricacion
1,1,0,0,0,0,0
1,2,0,0,0,0,0
1,3,0,0,11,0,8
1,4,0,0,11,0,24
1,5,0,0,11,1,24
1,6,0,0,11,26,24
1,7,0,0,19,27,24
1,8,0,0,27,27,46
1,9,0,0,38,34,46
1,10,0,0,38,34,46
1,11,0,0,38,34,72
1,12,0,0,58,56,88
1,13,0,0,58,56,95
1,14,0,0,58,56,95
1,15,0,0,72,78,97
1,16,0,0,93,87,97
1,17,-2,0,21,13,100
1,18,-2,0,21,13,100
1,19,-3,0,21,36,24
1,20,-3,0,21,65,29
1,21,-3,0,21,75,57
1,22,-3,0,21,94,85
1,23,-3,0,47,109,85
1,24,-3,0,51,109,98
1,25,-2,0,66,0.999992,98
1,26,-2,0,66,0.999992,98
1,27,-3,0,66,0.999992,0.999992
1,28,-3,0,66,0.999992,3.99999
1,29,-3,0,66,0.999992,4.99999
1,30,-3,0,76,0.999992,16
1,31,-3,0,93,4.99999,25
1,32,-3,0,120,34,39
1,33,-3,0,120,51,43
1,34,-3,0,120,58,43
1,35,-3,0,120,58,43
1,36,-4,0,29,63,43
1,37,-4,0,29,63,44
1,38,-4,0,29,63,44
1,39,-4,0,29,87,49
1,40,-4,0,29,87,76
1,41,-4,0,29,105,76
1,42,-4,0,29,105,76
1,43,-4,0,44,105,76
1,44,-4,0,61,121,102
1,45,-4,0,63,121,120
1,46,-4,0,85,121,120
1,47,-4,0,85,121,120
1,48,-4,0,85,121,128
1,49,-4,0,85,124,128
1,50,-4,0,85,124,128
1,51,-4,0,85,124,136
1,52,-4,0,85,137,136
1,53,-4,0,85,145,164
1,54,-4,0,95,168,164
1,55,-4,0,108,168,179
1,56,-4,0,108,174,179
1,57,-4,0,138,174,179
1,58,-4,0,138,204,206
1,59,-4,0,138,213,216
1,60,-4,0,138,224,219
1,61,-4,0,138,224,219
1,62,-4,0,138,224,223
1,63,-4,0,151,224,223
1,64,-4,0,153,240,223
1,65,-4,0,171,240,233
1,66,-3,0,178,4.99998,233
1,67,-3,0,204,4.99998,233
1,68,-3,0,229,4.99998,233
1,69,-2,0,229,4.99998,15
1,70,-2,0,229,4.99998,15
1,71,-2,0,229,4.99998,17
1,72,-2,0,229,27,28
1,73,-2,0,230,34,58
1,74,-2,0,231,34,58
1,75,-3,0,12,52,71
1,76,-3,0,38,68,71
1,77,-3,0,49,71,71
1,78,-3,0,53,89,82
1,79,-3,0,53,112,82
1,80,-3,0,53,112,82
1,81,-3,0,53,112,82
1,82,-3,0,72,140,82
1,83,-3,0,72,167,82
1,84,-3,0,88,168,82
1,85,-3,0,106,176,82
1,86,-3,0,130,180,82
1,87,-3,0,130,193,82
1,88,-3,0,150,197,82
1,89,-3,0,176,210,110
1,90,-3,0,176,210,110
1,91,-3,0,195,224,110
1,92,-3,0,195,240,123
1,93,-3,0,195,267,123
1,94,-3,0,195,293,123
1,95,-3,0,200,316,153
1,96,-3,0,200,327,153
1,97,-3,0,222,327,153
1,98,-3,0,240,330,153
1,99,-3,0,266,330,183
1,100,-3,0,266,354,183
2,1,0,0,0,0,0
2,2,0,0,5,14,9
2,3,0,0,5,26,9
2,4,0,0,12,49,9
2,5,0,0,12,63,10
2,6,0,0,12,63,10
2,7,0,0,12,63,39
2,8,0,0,33,63,48
2,9,0,0,33,77,48
2,10,0,0,55,77,76
2,11,0,0,55,94,76
2,12,-1,0,82,5,87
2,13,0,0,12,5,87
2,14,0,0,12,5,96
2,15,-1,0,42,11,9
2,16,-1,0,42,22,9
2,17,-1,0,60,22,9
2,18,-1,0,60,37,26
2,19,-1,0,60,59,26
2,20,-1,0,90,61,28
2,21,-1,0,90,76,55
2,22,-1,0,102,76,55
2,23,-1,0,115,76,55
2,24,-1,0,115,76,79
2,25,-1,0,115,76,79
2,26,-1,0,115,91,79
2,27,-2,0,14,99,79
2,28,-2,0,33,114,99
2,29,-2,0,48,114,99
2,30,-3,0,55,24,119
2,31,-2,0,55,33,18
2,32,-2,0,85,33,18
2,33,-2,0,85,33,18
2,34,-2,0,85,33,46
2,35,-2,0,99,33,46
2,36,-2,0,99,33,46
2,37,-2,0,111,33,73
2,38,-2,0,111,33,73
2,39,-2,0,133,51,83
2,40,-2,0,133,59,95
2,41,-2,0,149,59,96
2,42,-2,0,149,77,96
2,43,-2,0,164,96,96
2,44,-2,0,164,104,96
2,45,-2,0,164,104,96
2,46,-2,0,170,104,96
2,47,-2,0,170,128,115
2,48,-2,0,170,133,115
2,49,-2,0,170,133,115
2,50,-2,0,170,155,139
2,51,-2,0,191,155,139
2,52,-2,0,201,174,167
2,53,-2,0,201,174,194
2,54,-2,0,201,187,224
2,55,-2,0,201,195,236
2,56,-1,0,201,203,20
2,57,-1,0,201,223,31
2,58,-1,0,201,239,39
2,59,-1,0,201,239,39
2,60,-1,0,218,239,39
2,61,-2,0,218,0.999985,39
2,62,-2,0,221,30,39
2,63,-2,0,221,36,64
2,64,-2,0,221,47,91
2,65,-3,0,7.99998,47,91
2,66,-3,0,23,47,118
2,67,-3,0,28,73,144
2,68,-3,0,28,73,144
2,69,-3,0,28,73,144
2,70,-3,0,28,76,173
2,71,-3,0,44,76,173
2,72,-3,0,44,78,195
2,73,-3,0,65,91,195
2,74,-3,0,65,91,195
2,75,-3,0,79,113,195
2,76,-3,0,79,116,211
2,77,-3,0,89,116,224
2,78,-3,0,89,117,224
2,79,-3,0,91,117,224
2,80,-3,0,102,117,227
2,81,-3,0,102,145,227
2,82,-3,0,102,145,227
2,83,-3,0,102,151,228
2,84,-3,0,123,168,228
2,85,-3,0,123,178,228
2,86,-3,0,124,178,228
2,87,-3,0,144,204,256
